"Product type" "Product brand" "Product price"
18112432 "Marks & Spencer" 3299.0
21069448 Kurdi 888.0
16328559 OXIGEN 2799.0
33696052 ТРАДИЦИИ 618.0
14653423 Plover 576.0
16468962 "HARMONT & BLAINE" 7523.0
17116001 Osta 518.0
10307556 oodji 599.0
25807040 "УЛЬЯНОВСКИЙ ТРИКОТАЖ" 539.0
6873200 "ЧЕБОКСАРСКИЙ ТРИКОТАЖ" 642.0
17116008 Osta 518.0
3185204 Intimidea 1166.0
14653422 Plover 576.0
17728424 Лето-Текс 604.0
6416098 oodji 559.0
27433479 "ЧЕБОКСАРСКИЙ ТРИКОТАЖ" 642.0
14653424 Plover 576.0
14168669 MAER 2945.0
9533709 KSANDRA 478.0
17763066 ВАСИЛИСА! 623.0
14168670 MAER 2945.0
14049791 R&I 4706.0
9027370 HENDERSON 5949.0
14652749 Plover 814.0
14652742 Plover 814.0
15432805 ХАЙТЕК 705.0
9533711 KSANDRA 398.0
16403597 "THE GANGSTER" 1562.0
9600106 HENDERSON 7309.0
9707020 R&I 2722.0
17116009 Osta 532.0
17133221 KATARDI 1755.0
11016674 Diona 869.0
14900720 Великоросс 2572.0
17979006 Trussardi 8689.0
19124399 ХАЙТЕК 858.0
15321263 Trussardi 6110.0
15690008 РКР 1169.0
15631457 Plover 846.0
16518776 "ANTONY MORATO" 3580.0
8938298 "Oscar Cordoba" 588.0
14049789 R&I 4706.0
26496073 "CALVIN KLEIN" 5800.0
18291957 "SKULL LOFT" 1890.0
15031349 Osta 600.0
17507622 "Oscar Cordoba" 588.0
26972287 "ЧЕБОКСАРСКИЙ ТРИКОТАЖ" 827.0
14594546 Plover 542.0
14652750 Plover 487.0
20954107 "Long life brend" 684.0
25758606 "УЛЬЯНОВСКИЙ ТРИКОТАЖ" 539.0
4577357 oodji 799.0
12043654 RonNny 2390.0
9644094 NEWBREED 871.0
15247559 Plover 832.0
33565611 Befree 1699.0
34464318 Re-Action 2096.0
34055822 Zolla 1519.0
9960688 R&I 2722.0
33661851 ТРАДИЦИИ 618.0
16164322 Neoclassic 821.0
10651185 KANZLER 3799.0
23229226 Ursan 1280.0
19124398 ХАЙТЕК 1072.0
9874680 Colin's 639.0
24821760 "GO ON" 679.0
34077789 Baon 2519.0
8938294 "Oscar Cordoba" 588.0
15031345 Osta 600.0
16768037 GAP 3491.0
15107067 MAER 3188.0
16468977 "HARMONT & BLAINE" 8400.0
10628675 KALINA-STYLE 677.0
18561608 "ROMANO MARRO" 2583.0
14248141 "Oscar Cordoba" 588.0
16362080 "NEW IN TOWN" 2359.0
17116004 Osta 532.0
15631386 Plover 501.0
23137179 "GO ON" 679.0
17116007 Osta 518.0
14852048 Limia 931.0
20887824 JUNBERG 3199.0
34055820 Zolla 1519.0
19124400 ХАЙТЕК 1072.0
16362055 LERROS 1290.0
6925038 PANTELEMONE 1049.0
16388191 Plover 576.0
15065287 Kurdi 603.0
27368251 "ЧЕБОКСАРСКИЙ ТРИКОТАЖ" 827.0
6430768 Gepard 1132.0
16362054 LERROS 1027.0
16926067 oodji 1580.0
4532667 oodji 999.0
24886160 "GO ON" 679.0
25695847 paRRadise 1221.0
14900726 Великоросс 2572.0
19307415 ВАСИЛИСА! 671.0
17133224 KATARDI 1755.0
17116003 Osta 532.0
21069449 Kurdi 838.0
6443999 MAER 3387.0
24610780 "LC Waikiki" 779.0
6392427 MAER 2945.0
14652743 Plover 487.0
15361751 "TOM TAILOR" 1599.0
27096133 Severclothing 2103.0
14642518 R&I 2722.0
23229224 Ursan 1280.0
6892389 "Cubo Nero" 777.0
17809520 Flamingo' 572.0
27096132 Severclothing 2103.0
15158393 Luxor 1950.0
16388193 Plover 576.0
15607243 VALEHINO 1565.0
14347509 Plover 840.0
3185209 Intimidea 1254.0
14653429 Plover 531.0
33565612 Befree 1699.0
15247558 Plover 527.0
15459254 "Atlas For Men" 1019.0
19121566 ХАЙТЕК 926.0
8854408 Baon 2908.0
8916011 BendClub 1040.0
9237798 HENDERSON 5949.0
14379883 "LUDOVIC FLOREAC" 6966.0
14652746 Plover 487.0
6416097 oodji 559.0
8998357 "ANDER WELT" 958.0
15247561 Plover 527.0
15904654 MAER 2945.0
18227734 MELANA 918.0
15950041 "INFERNO style" 714.0
14653425 Plover 531.0
4496817 oodji 836.0
12043653 RonNny 2290.0
14825310 FERRARO 3104.0
17133216 KATARDI 1755.0
25692841 paRRadise 1221.0
19124396 ХАЙТЕК 1072.0
34464161 Re-Action 2096.0
26841767 "УЛЬЯНОВСКИЙ ТРИКОТАЖ" 734.0
14900724 Великоросс 2743.0
16322038 Plover 576.0
33565617 Befree 1799.0
14270122 MEXX 2983.0
17545219 "HARMONT & BLAINE" 8956.0
6645441 S.OLIVER 2744.0
14278084 Baon 1599.0
32335923 Zolla 949.0
15432807 ХАЙТЕК 498.0
17226222 "LUIGGI FENZO" 1890.0
15350425 Diona 909.0
14278081 Baon 1599.0
6179717 MAER 2945.0
9112467 S.OLIVER 1623.0
15631384 Plover 501.0
15727788 NikoAM 571.0
19174365 modify 999.0
24610711 "LC Waikiki" 779.0
11034166 Эль-Тана 602.0
15534980 Neoclassic 821.0
32187077 Ovonavi 457.0
26845805 "УЛЬЯНОВСКИЙ ТРИКОТАЖ" 734.0
24808919 Severclothing 1870.0
14625347 Baon 1561.0
11092785 KALINA-STYLE 677.0
10393031 GroStyle 2166.0
15631385 Plover 501.0
15748050 "Аленушка трикотаж" 617.0
9027368 HENDERSON 6509.0
4807715 MAER 1972.0
14776005 Legenda 585.0
16783925 ТРЕНД 842.0
28116557 Severclothing 2103.0
19066109 "BASIC STYLE" 1189.0
29908170 oodji 599.0
10628676 KALINA-STYLE 677.0
19918160 ENUENDO 726.0
14576761 "Fine Joyce" 1431.0
6881596 Diona 869.0
9098158 HENDERSON 7309.0
15031348 Osta 600.0
4644671 "ANDER WELT" 918.0
17133217 KATARDI 1755.0
24710100 Linne 587.0
16362053 LERROS 1123.0
10161193 БАТНИК 879.0
6430771 Gepard 1132.0
19304543 ENUENDO 705.0
21431213 "Doctor TM" 2531.0
17719882 GENESIS 660.0
9960687 R&I 2722.0
16934543 Neoclassic 821.0
15605423 Галатея 519.0
17133215 KATARDI 1755.0
14652748 Plover 814.0
25693914 paRRadise 1221.0
16163241 "ТРАДИЦИИ ТРИКОТАЖА" 600.0
6892388 "Cubo Nero" 777.0
14653428 Plover 531.0
7246593 "Angelo Bonetti" 4420.0
6525346 MAER 2739.0
34129431 "L.A. WEAR" 627.0
15031346 Osta 586.0
9600105 HENDERSON 7309.0
17875808 "Премиум Текстиль" 2083.0
17913543 LINDBERGH 1326.0
8938293 "Oscar Cordoba" 588.0
9183329 "John Jeniford" 1946.0
14347505 Plover 498.0
9446755 "Аленушка трикотаж" 638.0
15631382 Plover 501.0
9027352 HENDERSON 4027.0
14750459 Галатея 519.0
15607247 VALEHINO 1747.0
18848965 Decade 1399.0
15451039 "MAYA MIRANDA" 369.0
15752593 "INFERNO style" 721.0
15833862 VALEHINO 782.0
15432809 ХАЙТЕК 498.0
19246853 JODEEN 406.0
10459646 "Швейное производство КОНСУЛ" 799.0
15764674 Limia 971.0
20887826 JUNBERG 3199.0
6416100 oodji 559.0
20887828 JUNBERG 3199.0
14347508 Plover 498.0
10312854 BAGGAGE 1584.0
8978915 "A PASSION PLAY" 2622.0
9030157 SeamlessFLEX 363.0
14049790 R&I 4706.0
24610743 "LC Waikiki" 779.0
14653417 Plover 576.0
12043657 RonNny 2390.0
7015066 Westrenger 1344.0
7283600 "Cubo Nero" 696.0
15637215 "Fenix Wear" 881.0
15061446 Limia 955.0
15351140 Limia 890.0
28799452 Nikomen 664.0
15065288 Kurdi 951.0
19124397 ХАЙТЕК 1072.0
17302702 "Carpe Diem" 783.0
34238542 "L.A. WEAR" 627.0
9030159 SeamlessFLEX 363.0
17521144 "ТРАДИЦИИ ТРИКОТАЖА" 1125.0
9864412 S.OLIVER 2575.0
15833863 VALEHINO 782.0
18939388 "V.I.V LIFE EASY" 722.0
8695743 O'STIN 1003.0
14594545 Plover 576.0
14653414 Plover 963.0
15560529 Darina 315.0
16378455 Diona 925.0
15351147 Limia 971.0
25807094 "УЛЬЯНОВСКИЙ ТРИКОТАЖ" 512.0
7246594 "Angelo Bonetti" 4420.0
15739647 KSANDRA 548.0
5172359 Gepard 1041.0
7321444 "Cubo Nero" 777.0
17920885 MELANA 918.0
21053160 Kurdi 830.0
17614768 Persevero 2000.0
9335646 INFIL. 1840.0
6179718 MAER 2739.0
8938292 "Oscar Cordoba" 546.0
19552389 Limia 971.0
17226218 "LUIGGI FENZO" 1890.0
6416751 "Cubo Nero" 696.0
20954106 "Long life brend" 765.0
13776607 KOTON 919.0
6892470 "Cubo Nero" 696.0
10628678 KALINA-STYLE 723.0
16164905 GENESIS 652.0
19104102 "BASIC STYLE" 1189.0
14625348 Baon 1561.0
8939099 oodji 829.0
16319201 WAKE 674.0
24610712 "LC Waikiki" 779.0
18936598 Свiтанак 622.0
14168671 MAER 2739.0
14594544 Plover 542.0
16319203 WAKE 855.0
15351141 Limia 890.0
19503954 VipSTENDO 645.0
14532572 RAKE 1344.0
10628680 KALINA-STYLE 723.0
11719565 SangerStyle 1530.0
18886788 "New Life" 494.0
18913030 "BP Home" 387.0
17875806 "Премиум Текстиль" 2083.0
9421067 Gepard 1132.0
18672000 Diona 948.0
7195921 O'STIN 1099.0
7015065 Westrenger 2868.0
3185203 Intimidea 1166.0
15833861 VALEHINO 782.0
6416750 "Cubo Nero" 777.0
24610713 "LC Waikiki" 839.0
33565608 Befree 1699.0
7015063 Westrenger 1374.0
18561606 "ROMANO MARRO" 2583.0
25548164 Decade 1399.0
16060342 Dairos 2745.0
15351139 Limia 955.0
4780144 "ANDER WELT" 918.0
15833860 VALEHINO 782.0
34463276 Re-Action 1743.0
19545940 "Лето Текс" 690.0
15690007 РКР 1169.0
9238996 HENDERSON 5599.0
26949063 HappyFox 743.0
10013729 S.OLIVER 1660.0
14703501 Kurdi 629.0
16396053 oodji 1699.0
3185208 Intimidea 1115.0
9201352 Gepard 928.0
19044447 Plover 523.0
26846323 "УЛЬЯНОВСКИЙ ТРИКОТАЖ" 734.0
6337477 Westrenger 2928.0
14776003 Legenda 585.0
7026569 СТИМ 1527.0
15079641 Dairos 2539.0
15061447 Limia 955.0
15406484 "Прялкин и Ко" 1195.0
17226220 "LUIGGI FENZO" 1890.0
4886874 Лето-Текс 744.0
14270123 MEXX 2655.0
15031347 Osta 600.0
17400835 "LUIGGI FENZO" 1990.0
14752989 Свiтанак 658.0
19246857 JODEEN 437.0
20953150 paRRadise 1495.0
8792988 MAER 2945.0
4745911 Gepard 1047.0
16848873 Kristoffer 543.0
17590152 Madmext. 2090.0
9644096 NEWBREED 871.0
12468984 "Cubo Nero" 777.0
7208151 СТИМ 1527.0
8995413 Dairos 2909.0
10848047 ТРЕНД 842.0
17300847 "LUXOR BY RAMO" 1350.0
9183328 "John Jeniford" 1807.0
19503951 VipSTENDO 1093.0
28810557 Nikomen 578.0
14653420 Plover 576.0
16362081 "NEW IN TOWN" 2359.0
9332257 "Finn Flare" 1943.0
15001113 "Selection PULLTONIC" 675.0
15061445 Limia 528.0
15631454 Plover 512.0
7283601 "Cubo Nero" 696.0
9191399 "TOM TAILOR" 1627.0
17400817 "LUIGGI FENZO" 1990.0
8938297 "Oscar Cordoba" 546.0
21521345 ХАЙТЕК 840.0
17302701 "Carpe Diem" 783.0
17611700 Decade 1299.0
24610744 "LC Waikiki" 659.0
16848877 Kristoffer 543.0
6892467 "Cubo Nero" 696.0
11450846 CATCH 932.0
14896926 "Fine Joyce" 1215.0
17979005 Trussardi 7446.0
8792985 MAER 2739.0
19246856 JODEEN 437.0
16372631 "CANOE PREMIUM" 23000.0
9222267 Lacoste 10407.0
13918909 "Marks & Spencer" 1749.0
6660277 polesie. 1252.0
9657471 S.OLIVER 1365.0
18896000 "Прялкин и Ко" 556.0
6925040 PANTELEMONE 1049.0
14785281 "A PASSION PLAY" 2622.0
17503510 Wemsey 1619.0
18561609 "ROMANO MARRO" 2583.0
26790614 "Mix Mode" 1337.0
19631776 Свiтанак 557.0
26841919 "УЛЬЯНОВСКИЙ ТРИКОТАЖ" 734.0
4422141 oodji 899.0
8939100 oodji 649.0
18561604 "ROMANO MARRO" 2583.0
35576351 BP.Себестоимость 338.0
19174368 modify 929.0
15061444 Limia 971.0
15456023 ШИК 656.0
9570903 S.OLIVER 1465.0
14900727 Великоросс 2572.0
6854876 JASPER 3969.0
26949062 HappyFox 743.0
16398412 Triptonic 800.0
17719881 GENESIS 940.0
9875846 "Cupro Ramie" 542.0
14347507 Plover 498.0
17400838 "LUIGGI FENZO" 1990.0
9277613 "Cubo Nero" 905.0
16768038 GAP 4439.0
15485198 KANZLER 3999.0
6430770 Gepard 1132.0
15719962 КАМИЛИЯ 560.0
17400804 "LUIGGI FENZO" 1990.0
7062649 PANTELEMONE 1439.0
14900721 Великоросс 2572.0
16403598 "THE GANGSTER" 1529.0
10581634 ANDOO 1445.0
9027322 HENDERSON 6999.0
6892469 "Cubo Nero" 696.0
6430479 Gepard 1041.0
9353364 BendClub 2000.0
9707019 R&I 2722.0
4577343 oodji 1022.0
9183339 "John Jeniford" 1765.0
9624324 Baon 1799.0
4803660 "ANDER WELT" 1009.0
14764754 GroStyle 3119.0
16935150 BOGATTO 1784.0
16354250 ЭЛИЗА+ 834.0
17187416 Kurdi 576.0
17400810 "LUIGGI FENZO" 1990.0
8938296 "Oscar Cordoba" 588.0
18935460 Свiтанак 584.0
6235583 "John Jeniford" 1437.0
21069452 Kurdi 838.0
9098159 HENDERSON 7309.0
16163240 "ТРАДИЦИИ ТРИКОТАЖА" 600.0
6416754 "Cubo Nero" 696.0
15432806 ХАЙТЕК 694.0
15187716 "Cubo Nero" 696.0
21053156 Kurdi 830.0
16398413 Triptonic 800.0
18237143 КАМИЛИЯ 537.0
18547509 "Street Jeans" 1950.0
11397165 KALINA-STYLE 677.0
15219374 Fairchild 281.0
17611698 Decade 1299.0
17066974 Maxval 564.0
25959539 paRRadise 1221.0
6892468 "Cubo Nero" 696.0
6768598 btc 1317.0
10587651 ТРЕНД 842.0
11082553 "Doctor TM" 2261.0
17226229 VALEHINO 1287.0
16935130 BOGATTO 1784.0
9074177 "Blu.T Essential" 412.0
17116006 Osta 532.0
9801422 Gepard 1041.0
14359161 HENDERSON 7309.0
17116002 Osta 532.0
17567263 "Angelo Bonetti" 4420.0
15610252 VipDressCode 760.0
9074178 "Blu.T Essential" 412.0
14900725 Великоросс 2572.0
6319928 "ANDER WELT" 1009.0
9764932 "Носочно-перчаточная фабрика ВИКТОРИЯ" 427.0
15065293 Kurdi 1009.0
6263252 Gepard 928.0
7321446 "Cubo Nero" 777.0
21069447 Kurdi 838.0
20949122 WHITNEY 1465.0
14703499 Kurdi 629.0
9027367 HENDERSON 6999.0
27515879 "ЧЕБОКСАРСКИЙ ТРИКОТАЖ" 827.0
8704963 "United Colors of Benetton" 1566.0
8726084 Gepard 1100.0
18139234 BOSMENTI 3513.0
15865925 JLAB 1019.0
15938516 R&I 3120.0
14896923 "Fine Joyce" 1337.0
18200000 "U.S. Polo Assn." 2969.0
6775646 MAER 2945.0
19246854 JODEEN 437.0
7321443 Gepard 1041.0
14671121 DAVI 1630.0
21043069 MELANA 918.0
25583119 RonNny 2290.0
25694277 paRRadise 1221.0
19246848 JODEEN 437.0
25807061 "УЛЬЯНОВСКИЙ ТРИКОТАЖ" 539.0
13848956 Trussardi 3999.0
14168668 MAER 2739.0
9722650 Diona 948.0
15637203 "Fenix Wear" 1842.0
18839581 Jack&Jones 2239.0
17402989 "LUIGGI FENZO" 1890.0
10772918 "ANDER WELT" 1009.0
9925492 "U.S. Polo Assn." 4835.0
15440040 Батник-текс 626.0
15631381 Plover 501.0
30254013 ARISTARHOV 882.0
9247337 "Cubo Nero" 752.0
9644093 NEWBREED 871.0
17875807 "Премиум Текстиль" 2083.0
19121568 ХАЙТЕК 926.0
15350428 Diona 971.0
9745279 "ANDER WELT" 958.0
12043658 RonNny 2390.0
14547302 "Al Franco" 2517.0
15637209 "Fenix Wear" 1439.0
17110407 RAV. 499.0
9858260 S.OLIVER 2239.0
18118479 "20thLINE Outlet" 560.0
9518241 JASPER 5135.0
11245877 Monakko 655.0
15566888 A.R.S 352.0
19435507 modify 1099.0
6416748 "Cubo Nero" 777.0
14547297 "Al Franco" 2464.0
18695744 LIONA 540.0
18237187 "Trust Way" 504.0
6179716 MAER 2739.0
15637205 "Fenix Wear" 1461.0
15637216 "Fenix Wear" 1461.0
10215745 oodji 599.0
10388321 "WHITE HOUSE" 1976.0
27433384 "ЧЕБОКСАРСКИЙ ТРИКОТАЖ" 827.0
14652745 Plover 487.0
15350435 Diona 902.0
19174367 modify 929.0
14532556 RAKE 1344.0
18268516 "DJ TEX" 520.0
10526061 "United Colors of Benetton" 1533.0
15567115 CRACCO 424.0
14652744 Plover 487.0
16935097 BOGATTO 1711.0
16060341 Dairos 2745.0
15163736 "Mark Formelle" 1005.0
9409225 "ИП Комарова С.Н." 640.0
14652751 Plover 487.0
17758467 ЯН 742.0
18913464 "United Colors of Benetton" 1119.0
15158392 Luxor 1950.0
16935085 BOGATTO 1711.0
19121565 ХАЙТЕК 926.0
6443998 MAER 3387.0
14049788 R&I 2722.0
17903035 "Ocelot eco" 684.0
10004073 MAER 2946.0
11719561 SangerStyle 1530.0
18561610 "ROMANO MARRO" 2583.0
8165771 "ANDER WELT" 918.0
9983113 "TADDY Q" 1935.0
18611342 Benaffetto 2250.0
18958715 "TM LIMITED" 1890.0
18260401 Домтекс 918.0
23798217 LyaLi 515.0
4462081 Gepard 1041.0
14939696 SHWЭDAR 2946.0
16463673 Kurdi 783.0
24610714 "LC Waikiki" 899.0
19121567 ХАЙТЕК 926.0
10226005 GALS 2032.0
10539188 ТРЕНД 902.0
19121569 ХАЙТЕК 926.0
14825311 FERRARO 3283.0
24610710 "LC Waikiki" 769.0
28798467 Nikomen 505.0
6892390 "Cubo Nero" 777.0
17614769 Persevero 2000.0
14268658 DeFacto 3012.0
9183337 "John Jeniford" 1819.0
14882305 MUSSON 352.0
17400809 "LUIGGI FENZO" 1990.0
17614767 Persevero 1860.0
10619551 Gepard 1022.0
17133219 KATARDI 1755.0
10651193 KANZLER 2399.0
19174364 modify 999.0
9845213 KANZLER 3399.0
18290422 "SKULL LOFT" 1800.0
20860414 Rodrigo 612.0
14900722 Великоросс 2572.0
9027365 HENDERSON 6509.0
18258311 Домтекс 918.0
14969505 Эль-Тана 648.0
9074176 "Blu.T Essential" 412.0
6179715 MAER 2945.0
9030158 SeamlessFLEX 363.0
10013730 S.OLIVER 1586.0
6441078 "JB casual" 1287.0
12043655 RonNny 2390.0
7478947 "Gerry Ross" 3600.0
9332258 "Finn Flare" 1943.0
16322037 Plover 576.0
17066975 Maxval 544.0
14814067 Kurdi 858.0
6288300 oodji 699.0
9552072 Dairos 2702.0
18695740 LIONA 459.0
15158382 Luxor 1855.0
17302703 "Carpe Diem" 783.0
10047219 "Mark Formelle" 710.0
14123100 "20thLINE Outlet" 367.0
15440043 Батник-текс 660.0
8792984 MAER 2739.0
17567264 "Angelo Bonetti" 4420.0
18087733 "Marc O’Polo Denim" 2502.0
9183348 "John Jeniford" 1946.0
15351137 Limia 971.0
16935092 BOGATTO 1940.0
17503507 Wemsey 1499.0
21521346 ХАЙТЕК 726.0
10012806 "Mario Machardi" 1705.0
15031344 Osta 696.0
16911963 Plover 579.0
21575390 "Mix Mode" 1254.0
9027340 HENDERSON 5039.0
24610768 "LC Waikiki" 699.0
9736102 "AM Shi Nist" 397.0
24660852 Ursan 1280.0
4698756 oodji 559.0
15350424 Diona 869.0
18470295 20thLINE 539.0
20887825 JUNBERG 3199.0
9483508 MAER 2964.0
9616834 "Аленушка трикотаж" 532.0
15631456 Plover 846.0
6228223 CLIMBER 2369.0
6416749 "Cubo Nero" 777.0
15631387 Plover 790.0
19066112 "BASIC STYLE" 1189.0
17545221 "HARMONT & BLAINE" 8400.0
6663749 Gepard 928.0
8757797 Begood 1287.0
19246852 JODEEN 437.0
25695584 paRRadise 1221.0
4890315 "ANDER WELT" 1009.0
9421064 Gepard 1132.0
30254774 ARISTARHOV 819.0
10369337 Корона 346.0
17521251 "ТРАДИЦИИ ТРИКОТАЖА" 600.0
6927915 Gepard 1022.0
9183336 "John Jeniford" 1578.0
7062648 PANTELEMONE 1049.0
6272923 Gepard 1101.0
8975142 Gepard 1022.0
15310913 "Домашний трикотаж" 840.0
6530109 "Mark Formelle" 703.0
10459645 "Швейное производство КОНСУЛ" 642.0
14776006 Legenda 585.0
8722338 O'STIN 989.0
8916009 BendClub 1040.0
19246850 JODEEN 437.0
9201355 Gepard 928.0
9960689 R&I 2722.0
15158387 Luxor 1855.0
17787597 &Atrendo 442.0
25693915 RonNny 2290.0
14794868 GUESS 3345.0
15938202 Blauer 5735.0
15952857 "INFERNO style" 714.0
9789563 MEXX 1567.0
14547296 "Al Franco" 2517.0
9355684 "Прялкин и Ко" 1446.0
9770119 JASPER 6201.0
26846640 "УЛЬЯНОВСКИЙ ТРИКОТАЖ" 734.0
6858210 GENESIS 1332.0
9247298 "ANDER WELT" 846.0
14089524 "JB casual" 1287.0
16480878 Kristoffer 908.0
17302700 "Carpe Diem" 783.0
3260596 oodji 429.0
6416752 "Cubo Nero" 696.0
9355680 "Прялкин и Ко" 1195.0
9801424 Gepard 1041.0
15440041 Батник-текс 660.0
9239007 HENDERSON 5599.0
9544642 Rabsido 1375.0
17133220 KATARDI 1632.0
19503949 VipSTENDO 1081.0
4462080 Gepard 1047.0
9795982 JUNBERG 5539.0
17916755 GENESIS 788.0
4687452 "ANDER WELT" 765.0
6263249 Gepard 928.0
9736109 "AM Shi Nist" 397.0
17086298 CoMode 756.0
18037642 &Atrendo 450.0
15247560 Plover 883.0
19246859 JODEEN 437.0
14653421 Plover 963.0
15406482 "Прялкин и Ко" 1111.0
15938515 R&I 3120.0
4500117 Dairos 1618.0
14825312 FERRARO 3283.0
18895376 "Прялкин и Ко" 625.0
18939387 "V.I.V LIFE EASY" 496.0
25957737 paRRadise 1221.0
6263250 Gepard 928.0
16848866 Kristoffer 922.0
18937154 Свiтанак 585.0
20949121 WHITNEY 1345.0
15748429 "MARCO DI RADI" 3354.0
6263248 Gepard 928.0
7321442 Gepard 1041.0
9201353 Gepard 928.0
10388252 Senatori 3812.0
14764742 GroStyle 3354.0
6741509 ШИК 656.0
9925488 "U.S. Polo Assn." 4799.0
9960686 R&I 2722.0
10208850 "Mark Formelle" 939.0
17503509 Wemsey 1619.0
18848964 Decade 1399.0
19246855 JODEEN 437.0
14097594 MAER 2946.0
16167854 Эль-Тана 648.0
9228177 "SKYTREND by YULIYA SKOPETS" 954.0
17917224 CoMode 756.0
21254453 Decade 1399.0
3698284 Gepard 1100.0
13977191 "United Colors of Benetton" 1880.0
9711660 "Аленушка трикотаж" 638.0
9355681 "Прялкин и Ко" 1195.0
8695712 O'STIN 779.0
9247295 "ANDER WELT" 846.0
9345579 HENDERSON 5599.0
14097595 MAER 2946.0
17133222 KATARDI 1755.0
17809521 Flamingo' 572.0
23107240 ШИК 1228.0
8666832 "United Colors of Benetton" 1899.0
9070838 oodji 1189.0
9201351 Gepard 928.0
9343120 "Fine Joyce" 1134.0
14900723 Великоросс 2572.0
16848869 Kristoffer 717.0
7321445 "Cubo Nero" 777.0
9238940 HENDERSON 4027.0
15012703 "ROBSEN Collection" 405.0
18561607 "ROMANO MARRO" 2583.0
6171938 oodji 1149.0
13848959 Trussardi 4386.0
15063594 "Fine Joyce" 1033.0
15173735 SWAN 929.0
18935461 Свiтанак 639.0
8835345 Baon 1461.0
9112469 S.OLIVER 1647.0
9553524 "Прялкин и Ко" 1446.0
10619549 Gepard 1132.0
15637210 "Fenix Wear" 1883.0
16935094 BOGATTO 1824.0
17402988 "LUIGGI FENZO" 1890.0
18268511 "DJ TEX" 520.0
21060488 Kurdi 825.0
6927799 Gepard 1132.0
9458374 Gepard 1047.0
9745281 "ANDER WELT" 958.0
11059775 Monakko 1020.0
15173733 SWAN 864.0
15631455 Plover 512.0
6107626 PANTELEMONE 1589.0
8304803 Intimidea 1166.0
8978913 "A PASSION PLAY" 3054.0
9238942 HENDERSON 5599.0
9535712 Gepard 1022.0
9707021 R&I 2722.0
11008476 WAKE 818.0
15631379 Plover 579.0
3260595 oodji 519.0
6653686 ESQUIRE 396.0
9317260 Gepard 1100.0
9718624 Gepard 1022.0
